KEGG_ID	CoA_names	carnitine_names
C05267	3-Oxooctanoyl-CoA; 3-Oxooctanyl-CoA	3-Oxooctanoyl-carnitine; 3-Oxooctanyl-carnitine
C05268	(S)-Hydroxyhexanoyl-CoA; (S)-3-Hydroxyhexanoyl-CoA; (S)-Hydroxyhexanyl-CoA; (S)-3-Hydroxyhexanyl-CoA	(S)-Hydroxyhexanoyl-carnitine; (S)-3-Hydroxyhexanoyl-carnitine; (S)-Hydroxyhexanyl-carnitine; (S)-3-Hydroxyhexanyl-carnitine
C05269	3-Oxohexanoyl-CoA; 3-Ketohexanoyl-CoA; 3-Oxohexanyl-CoA; 3-Ketohexanyl-CoA	3-Oxohexanoyl-carnitine; 3-Ketohexanoyl-carnitine; 3-Oxohexanyl-carnitine; 3-Ketohexanyl-carnitine
C05270	Hexanoyl-CoA; Hexanyl-CoA	Hexanoyl-carnitine; Hexanyl-carnitine
C05271	trans-Hex-2-enoyl-CoA; (2E)-Hexenoyl-CoA; trans-Hex-2-enyl-CoA; (2E)-Hexenyl-CoA	trans-Hex-2-enoyl-carnitine; (2E)-Hexenoyl-carnitine; trans-Hex-2-enyl-carnitine; (2E)-Hexenyl-carnitine
C05272	trans-Hexadec-2-enoyl-CoA; trans-2-Hexadecenoyl-CoA; (2E)-Hexadecenoyl-CoA; trans-Hexadec-2-enyl-CoA; trans-2-Hexadecenyl-CoA; (2E)-Hexadecenyl-CoA	trans-Hexadec-2-enoyl-carnitine; trans-2-Hexadecenoyl-carnitine; (2E)-Hexadecenoyl-carnitine; trans-Hexadec-2-enyl-carnitine; trans-2-Hexadecenyl-carnitine; (2E)-Hexadecenyl-carnitine
C05273	trans-Tetradec-2-enoyl-CoA; (2E)-Tetradecenoyl-CoA; trans-Tetradec-2-enyl-CoA; (2E)-Tetradecenyl-CoA	trans-Tetradec-2-enoyl-carnitine; (2E)-Tetradecenoyl-carnitine; trans-Tetradec-2-enyl-carnitine; (2E)-Tetradecenyl-carnitine
C05274	Decanoyl-CoA; Decanyl-CoA	Decanoyl-carnitine; Decanyl-carnitine
C05275	trans-Dec-2-enoyl-CoA; (2E)-Decenoyl-CoA; trans-Dec-2-enyl-CoA; (2E)-Decenyl-CoA	trans-Dec-2-enoyl-carnitine; (2E)-Decenoyl-carnitine; trans-Dec-2-enyl-carnitine; (2E)-Decenyl-carnitine
C05276	trans-Oct-2-enoyl-CoA; (2E)-Octenoyl-CoA; trans-Oct-2-enyl-CoA; (2E)-Octenyl-CoA	trans-Oct-2-enoyl-carnitine; (2E)-Octenoyl-carnitine; trans-Oct-2-enyl-carnitine; (2E)-Octenyl-carnitine
C05278	(R)-3-Hydroxyoctanoyl-CoA; (R)-3-Hydroxycapryloyl-CoA; (R)-3-Hydroxyoctanyl-CoA; (R)-3-Hydroxycaprylyl-CoA	(R)-3-Hydroxyoctanoyl-carnitine; (R)-3-Hydroxycapryloyl-carnitine; (R)-3-Hydroxyoctanyl-carnitine; (R)-3-Hydroxycaprylyl-carnitine
C05279	trans,cis-Lauro-2,6-dienoyl-CoA; (2E,6Z)-Dodecadienoyl-CoA; trans,cis-Lauro-2,6-dienyl-CoA; (2E,6Z)-Dodecadienyl-CoA	trans,cis-Lauro-2,6-dienoyl-carnitine; (2E,6Z)-Dodecadienoyl-carnitine; trans,cis-Lauro-2,6-dienyl-carnitine; (2E,6Z)-Dodecadienyl-carnitine
C05280	cis,cis-3,6-Dodecadienoyl-CoA; (3Z,6Z)-Dodecadienoyl-CoA; cis,cis-3,6-Dodecadienyl-CoA; (3Z,6Z)-Dodecadienyl-CoA	cis,cis-3,6-Dodecadienoyl-carnitine; (3Z,6Z)-Dodecadienoyl-carnitine; cis,cis-3,6-Dodecadienyl-carnitine; (3Z,6Z)-Dodecadienyl-carnitine
C05329	(2R)-2-Methylacyl-CoA; (2R)-2-Methylacoyl-CoA	(2R)-2-Methylacyl-carnitine; (2R)-2-Methylacoyl-carnitine
C05337	Chenodeoxycholoyl-CoA; 3alpha,7alpha-Dihydroxy-5beta-cholanoyl-CoA; Chenodeoxycholyl-CoA; 3alpha,7alpha-Dihydroxy-5beta-cholanyl-CoA	Chenodeoxycholoyl-carnitine; 3alpha,7alpha-Dihydroxy-5beta-cholanoyl-carnitine; Chenodeoxycholyl-carnitine; 3alpha,7alpha-Dihydroxy-5beta-cholanyl-carnitine
C05338	4-Hydroxyphenylacetyl-CoA; 4-Hydroxyphenylacetoyl-CoA	4-Hydroxyphenylacetyl-carnitine; 4-Hydroxyphenylacetoyl-carnitine
C05447	(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA; (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-en-26-oyl-CoA; (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enyl-CoA; (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-en-26-yl-CoA	(24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-carnitine; (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-en-26-oyl-carnitine; (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enyl-carnitine; (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-en-26-yl-carnitine
C05448	(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA; (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestan-26-oyl-CoA; (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanyl-CoA; (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestan-26-yl-CoA	(24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-carnitine; (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestan-26-oyl-carnitine; (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestanyl-carnitine; (24R,25R)-3alpha,7alpha,24-Trihydroxy-5beta-cholestan-26-yl-carnitine
C05449	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA; 3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanyl-CoA	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-carnitine; 3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanyl-carnitine
C05450	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanyl-CoA; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanyl-CoA	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-carnitine; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanoyl-carnitine; 3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanyl-carnitine; 3alpha,7alpha,12alpha,24zeta-Tetrahydroxy-5beta-cholestanyl-carnitine
C05460	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA; (24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-CoA	(24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-carnitine; (24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enyl-carnitine
C05467	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanyl-CoA	3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanoyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanyl-carnitine; 3alpha,7alpha,12alpha-Trihydroxy-24-oxo-5beta-cholestanyl-carnitine
C05668	3-Hydroxypropionyl-CoA; 3-Hydroxypropionyl coenzyme A; 3-Hydroxypropanoyl-CoA; 3-Hydroxypropanoyl coenzymeA; beta-Hydroxypropionyl-CoA	3-Hydroxypropionyl-carnitine; 3-Hydroxypropionyl carnitine; 3-Hydroxypropanoyl-carnitine; 3-Hydroxypropanoyl coenzymeA; beta-Hydroxypropionyl-carnitine
C05989	3-Oxopropionyl-CoA; 3-Oxopropanoyl-CoA; Malonyl semialdehyde-CoA	3-Oxopropionyl-carnitine; 3-Oxopropanoyl-carnitine; Malonyl semialdehyde-carnitine
