KEGG_ID	CoA_names	carnitine_names
C09821	6-Oxocyclohex-1-ene-1-carbonyl-CoA; 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA; 6-Oxocyclohex-1-ene-1-carbonoyl-CoA; 6-Ketoxycyclohex-1-ene-1-carboxoyl-CoA	6-Oxocyclohex-1-ene-1-carbonyl-carnitine; 6-Ketoxycyclohex-1-ene-1-carboxyl-carnitine; 6-Oxocyclohex-1-ene-1-carbonoyl-carnitine; 6-Ketoxycyclohex-1-ene-1-carboxoyl-carnitine
C09823	Cyclohexane-1-carboxyl-CoA; Cyclohexane-1-carbonyl-CoA; Cyclohexane-1-carboxoyl-CoA; Cyclohexane-1-carbonoyl-CoA	Cyclohexane-1-carboxyl-carnitine; Cyclohexane-1-carbonyl-carnitine; Cyclohexane-1-carboxoyl-carnitine; Cyclohexane-1-carbonoyl-carnitine
C09824	2,6-Dihydroxycyclohexane-1-carbonyl-CoA; 2,6-Dihydroxycyclohexane-1-carboxyl-CoA; 2,6-Dihydroxycyclohexane-1-carbonoyl-CoA; 2,6-Dihydroxycyclohexane-1-carboxoyl-CoA	2,6-Dihydroxycyclohexane-1-carbonyl-carnitine; 2,6-Dihydroxycyclohexane-1-carboxyl-carnitine; 2,6-Dihydroxycyclohexane-1-carbonoyl-carnitine; 2,6-Dihydroxycyclohexane-1-carboxoyl-carnitine
C09825	2-Hydroxy-6-oxocyclohexane-1-carbonyl-CoA; 6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA; 2-Hydroxy-6-oxocyclohexane-1-carbonoyl-CoA; 6-Oxo-2-hydroxycyclohexane-1-carboxoyl-CoA	2-Hydroxy-6-oxocyclohexane-1-carbonyl-carnitine; 6-Oxo-2-hydroxycyclohexane-1-carboxyl-carnitine; 2-Hydroxy-6-oxocyclohexane-1-carbonoyl-carnitine; 6-Oxo-2-hydroxycyclohexane-1-carboxoyl-carnitine
C11062	4-Hydroxybutyryl-CoA; 4-Hydroxybutanoyl-CoA	4-Hydroxybutyryl-carnitine; 4-Hydroxybutanoyl-carnitine
C11407	(3R)-3-Isopropenyl-6-oxoheptanoyl-CoA; (3R)-3-Isopropenyl-6-oxoheptanyl-CoA	(3R)-3-Isopropenyl-6-oxoheptanoyl-carnitine; (3R)-3-Isopropenyl-6-oxoheptanyl-carnitine
C11421	(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA; (3S)-3-Isopropenyl-6-oxoheptanyl-CoA	(3S)-3-Isopropenyl-6-oxoheptanoyl-carnitine; (3S)-3-Isopropenyl-6-oxoheptanyl-carnitine
C11448	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-CoA; Benzoxazolinyl-CoA; 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonoyl-CoA; Benzoxazolinoyl-CoA	3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonyl-carnitine; Benzoxazolinyl-carnitine; 3,4-Dihydro-7-methoxy-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carbonoyl-carnitine; Benzoxazolinoyl-carnitine
C11929	Perillyl-CoA; Perilloyl-CoA	Perillyl-carnitine; Perilloyl-carnitine
C11934	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA; 2-Hydroxy-4-isopropenylcyclohexane-1-carboxoyl-CoA	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-carnitine; 2-Hydroxy-4-isopropenylcyclohexane-1-carboxoyl-carnitine
C11935	4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA; 4-Isopropenyl-2-ketocyclohexane-1-carboxyl-CoA; 4-Isopropenyl-2-oxy-cyclohexanecarboxoyl-CoA; 4-Isopropenyl-2-ketocyclohexane-1-carboxoyl-CoA	4-Isopropenyl-2-oxy-cyclohexanecarboxyl-carnitine; 4-Isopropenyl-2-ketocyclohexane-1-carboxyl-carnitine; 4-Isopropenyl-2-oxy-cyclohexanecarboxoyl-carnitine; 4-Isopropenyl-2-ketocyclohexane-1-carboxoyl-carnitine
C11936	3-Isopropenylpimelyl-CoA; 3-Isopropenylpimeloyl-CoA	3-Isopropenylpimelyl-carnitine; 3-Isopropenylpimeloyl-carnitine
C11945	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA; trans-2-Methyl-5-isopropylhexa-2,5-dienyl-CoA	trans-2-Methyl-5-isopropylhexa-2,5-dienoyl-carnitine; trans-2-Methyl-5-isopropylhexa-2,5-dienyl-carnitine
C11946	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-CoA; cis-2-Methyl-5-isopropylhexa-2,5-dienyl-CoA	cis-2-Methyl-5-isopropylhexa-2,5-dienoyl-carnitine; cis-2-Methyl-5-isopropylhexa-2,5-dienyl-carnitine
C11947	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-CoA; 3-Hydroxy-2,6-dimethyl-5-methylene-heptanyl-CoA	3-Hydroxy-2,6-dimethyl-5-methylene-heptanoyl-carnitine; 3-Hydroxy-2,6-dimethyl-5-methylene-heptanyl-carnitine
C11948	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-CoA; 2,6-Dimethyl-5-methylene-3-oxo-heptanyl-CoA	2,6-Dimethyl-5-methylene-3-oxo-heptanoyl-carnitine; 2,6-Dimethyl-5-methylene-3-oxo-heptanyl-carnitine
C11949	3-Isopropylbut-3-enoyl-CoA; 3-Isopropylbut-3-enyl-CoA	3-Isopropylbut-3-enoyl-carnitine; 3-Isopropylbut-3-enyl-carnitine
C12092	N-Methylanthraniloyl-CoA; N-Methylanthranilyl-CoA	N-Methylanthraniloyl-carnitine; N-Methylanthranilyl-carnitine
C12146	C26-CoA	C26-carnitine
C12203	5-Hydroxyferuloyl-CoA; 5-Hydroxyferulyl-CoA	5-Hydroxyferuloyl-carnitine; 5-Hydroxyferulyl-carnitine
C12324	3,5-Dihydroxyphenylacetyl-CoA; 3,5-Dihydroxyphenylacetoyl-CoA	3,5-Dihydroxyphenylacetyl-carnitine; 3,5-Dihydroxyphenylacetoyl-carnitine
C12450	Pseudoecgonyl-CoA; Pseudoecgonoyl-CoA	Pseudoecgonyl-carnitine; Pseudoecgonoyl-carnitine
C14116	Naphthyl-2-methyl-succinyl-CoA; Naphthyl-2-methyl-succinoyl-CoA	Naphthyl-2-methyl-succinyl-carnitine; Naphthyl-2-methyl-succinoyl-carnitine
C14117	Naphthyl-2-methylene-succinyl-CoA; Naphthyl-2-methylene-succinoyl-CoA	Naphthyl-2-methylene-succinyl-carnitine; Naphthyl-2-methylene-succinoyl-carnitine
C14118	Naphthyl-2-hydroxymethyl-succinyl CoA	Naphthyl-2-hydroxymethyl-succinyl carnitine
C14119	Naphthyl-2-oxomethyl-succinyl-CoA; Naphthyl-2-oxomethyl-succinoyl-CoA	Naphthyl-2-oxomethyl-succinyl-carnitine; Naphthyl-2-oxomethyl-succinoyl-carnitine
C14120	2-Naphthoyl-CoA; 2-Naphthyl-CoA	2-Naphthoyl-carnitine; 2-Naphthyl-carnitine
C14143	Adipyl-CoA; 5-Carboxypentanoyl-CoA	Adipyl-carnitine; 5-Carboxypentanoyl-carnitine
C14144	5-Carboxy-2-pentenoyl-CoA; 2,3-Didehydroadipyl-CoA	5-Carboxy-2-pentenoyl-carnitine; 2,3-Didehydroadipyl-carnitine
C14145	(3S)-3-Hydroxyadipyl-CoA; (3S)-3-Hydroxyadipoyl-CoA	(3S)-3-Hydroxyadipyl-carnitine; (3S)-3-Hydroxyadipoyl-carnitine
C15489	S-2-(Indol-3-yl)acetyl-CoA; (Indol-3-yl)acetyl-CoA; S-2-(Indol-3-yl)acetoyl-CoA; (Indol-3-yl)acetoyl-CoA	S-2-(Indol-3-yl)acetyl-carnitine; (Indol-3-yl)acetyl-carnitine; S-2-(Indol-3-yl)acetoyl-carnitine; (Indol-3-yl)acetoyl-carnitine
C15524	Phenylglyoxylyl-CoA; Phenylglyoxyloyl-CoA	Phenylglyoxylyl-carnitine; Phenylglyoxyloyl-carnitine
C15547	1,4-Dihydroxy-2-naphthoyl-CoA; 1,4-Dihydroxy-2-naphthyl-CoA	1,4-Dihydroxy-2-naphthoyl-carnitine; 1,4-Dihydroxy-2-naphthyl-carnitine
C15560	Deoxycholoyl-CoA; Deoxycholyl-CoA	Deoxycholoyl-carnitine; Deoxycholyl-carnitine
C15613	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA; (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-yl-CoA	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-carnitine; (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-yl-carnitine
C15614	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-oyl-CoA; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanyl-CoA; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-yl-CoA	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-carnitine; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-oyl-carnitine; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanyl-carnitine; (24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-yl-carnitine
C15980	(S)-2-Methylbutanoyl-CoA; (S)-2-Methylbutanyl-CoA	(S)-2-Methylbutanoyl-carnitine; (S)-2-Methylbutanyl-carnitine
C16162	(9Z,12Z,15Z)-Octadecatrienoyl-CoA; alpha-Linolenoyl-CoA; (9Z,12Z,15Z)-Octadecatrienyl-CoA; alpha-Linolenyl-CoA	(9Z,12Z,15Z)-Octadecatrienoyl-carnitine; alpha-Linolenoyl-carnitine; (9Z,12Z,15Z)-Octadecatrienyl-carnitine; alpha-Linolenyl-carnitine
C16163	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA; Stearidonoyl-CoA; (6Z,9Z,12Z,15Z)-Octadecatetraenyl-CoA; Stearidonyl-CoA	(6Z,9Z,12Z,15Z)-Octadecatetraenoyl-carnitine; Stearidonoyl-carnitine; (6Z,9Z,12Z,15Z)-Octadecatetraenyl-carnitine; Stearidonyl-carnitine
C16164	(8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA; (8Z,11Z,14Z,17Z)-Icosa-8,11,14,17-tetraenoyl-CoA; (8Z,11Z,14Z,17Z)-Icosatetraenyl-CoA; (8Z,11Z,14Z,17Z)-Icosa-8,11,14,17-tetraenyl-CoA	(8Z,11Z,14Z,17Z)-Icosatetraenoyl-carnitine; (8Z,11Z,14Z,17Z)-Icosa-8,11,14,17-tetraenoyl-carnitine; (8Z,11Z,14Z,17Z)-Icosatetraenyl-carnitine; (8Z,11Z,14Z,17Z)-Icosa-8,11,14,17-tetraenyl-carnitine
C16165	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoyl-CoA; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenyl-CoA; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenyl-CoA	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-carnitine; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoyl-carnitine; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenyl-carnitine; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenyl-carnitine
C16166	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA; (7Z,10Z,13Z,16Z,19Z)-Docosapentaenyl-CoA	(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-carnitine; (7Z,10Z,13Z,16Z,19Z)-Docosapentaenyl-carnitine
C16167	(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA; (9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenyl-CoA	(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-carnitine; (9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenyl-carnitine
C16168	(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenyl-CoA	(6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenyl-carnitine
C16169	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenyl-CoA	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-carnitine; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenyl-carnitine
C16170	(7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA; (7Z,10Z,13Z,16Z)-Docosatetraenyl-CoA	(7Z,10Z,13Z,16Z)-Docosatetraenoyl-carnitine; (7Z,10Z,13Z,16Z)-Docosatetraenyl-carnitine
C16171	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA; (9Z,12Z,15Z,18Z)-Tetracosatetraenyl-CoA	(9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-carnitine; (9Z,12Z,15Z,18Z)-Tetracosatetraenyl-carnitine
C16172	(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenyl-CoA	(6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenyl-carnitine
C16173	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA; (4Z,7Z,10Z,13Z,16Z)-Docosapentaenyl-CoA	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-carnitine; (4Z,7Z,10Z,13Z,16Z)-Docosapentaenyl-carnitine
C16179	(11Z,14Z,17Z)-Icosatrienoyl-CoA; (11Z,14Z,17Z)-Icosa-11,14,17-trienoyl-CoA; (11Z,14Z,17Z)-Icosatrienyl-CoA; (11Z,14Z,17Z)-Icosa-11,14,17-trienyl-CoA	(11Z,14Z,17Z)-Icosatrienoyl-carnitine; (11Z,14Z,17Z)-Icosa-11,14,17-trienoyl-carnitine; (11Z,14Z,17Z)-Icosatrienyl-carnitine; (11Z,14Z,17Z)-Icosa-11,14,17-trienyl-carnitine
C16180	(11Z,14Z)-Icosadienoyl-CoA; (11Z,14Z)-Icosa-11,14-dienoyl-CoA; (11Z,14Z)-Icosadienyl-CoA; (11Z,14Z)-Icosa-11,14-dienyl-CoA	(11Z,14Z)-Icosadienoyl-carnitine; (11Z,14Z)-Icosa-11,14-dienoyl-carnitine; (11Z,14Z)-Icosadienyl-carnitine; (11Z,14Z)-Icosa-11,14-dienyl-carnitine
C16216	3-Oxostearoyl-CoA; 3-Oxooctadecanoyl-CoA; beta-Ketostearoyl-CoA; 3-Ketostearoyl-CoA; 3-Oxostearyl-CoA; 3-Oxooctadecanyl-CoA; beta-Ketostearyl-CoA; 3-Ketostearyl-CoA	3-Oxostearoyl-carnitine; 3-Oxooctadecanoyl-carnitine; beta-Ketostearoyl-carnitine; 3-Ketostearoyl-carnitine; 3-Oxostearyl-carnitine; 3-Oxooctadecanyl-carnitine; beta-Ketostearyl-carnitine; 3-Ketostearyl-carnitine
C16217	3-Hydroxyoctadecanoyl-CoA; 3-Hydroxystearoyl-CoA; beta-Hydroxystearoyl-CoA; 3-Hydroxyoctadecanyl-CoA; 3-Hydroxystearyl-CoA; beta-Hydroxystearyl-CoA	3-Hydroxyoctadecanoyl-carnitine; 3-Hydroxystearoyl-carnitine; beta-Hydroxystearoyl-carnitine; 3-Hydroxyoctadecanyl-carnitine; 3-Hydroxystearyl-carnitine; beta-Hydroxystearyl-carnitine
C16218	(2E)-Octadecenoyl-CoA; trans-Octadec-2-enoyl-CoA; (2E)-Octadecenyl-CoA; trans-Octadec-2-enyl-CoA	(2E)-Octadecenoyl-carnitine; trans-Octadec-2-enoyl-carnitine; (2E)-Octadecenyl-carnitine; trans-Octadec-2-enyl-carnitine
C16256	(E)-Cinnamoyl-CoA; (E)-Cinnamyl-CoA	(E)-Cinnamoyl-carnitine; (E)-Cinnamyl-carnitine
C16257	(R)-Phenyllactyl-CoA; (R)-3-(Phenyl)lactoyl-CoA	(R)-Phenyllactyl-carnitine; (R)-3-(Phenyl)lactoyl-carnitine
C16268	Cyclopropanecarboxyl-CoA; Cyclopropanecarboxoyl-CoA	Cyclopropanecarboxyl-carnitine; Cyclopropanecarboxoyl-carnitine
C16273	3-Hydroxy-5-oxohexanoyl-CoA; 3-Hydroxy-5-oxohexanyl-CoA	3-Hydroxy-5-oxohexanoyl-carnitine; 3-Hydroxy-5-oxohexanyl-carnitine
C16327	OPC8-CoA	OPC8-carnitine
C16328	trans-2-Enoyl-OPC8-CoA	trans-2-Enoyl-OPC8-carnitine
C16329	3-Hydroxy-OPC8-CoA	3-Hydroxy-OPC8-carnitine
C16330	3-Oxo-OPC8-CoA	3-Oxo-OPC8-carnitine
C16331	OPC6-CoA	OPC6-carnitine
C16332	trans-2-Enoyl-OPC6-CoA	trans-2-Enoyl-OPC6-carnitine
C16333	3-Hydroxy-OPC6-CoA	3-Hydroxy-OPC6-carnitine
C16334	3-Oxo-OPC6-CoA	3-Oxo-OPC6-carnitine
C16335	OPC4-CoA	OPC4-carnitine
C16336	trans-2-Enoyl-OPC4-CoA	trans-2-Enoyl-OPC4-carnitine
C16337	3-Hydroxy-OPC4-CoA	3-Hydroxy-OPC4-carnitine
C16338	3-Oxo-OPC4-CoA	3-Oxo-OPC4-carnitine
C16339	(+)-7-Isojasmonic acid CoA	(+)-7-Isojasmonic acid carnitine
C16374	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-2,6,9,12,15,18,21-heptaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-2,6,9,12,15,18,21-heptaenyl-CoA	(2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenoyl-carnitine; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-2,6,9,12,15,18,21-heptaenoyl-carnitine; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosaheptaenyl-carnitine; (2E,6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosa-2,6,9,12,15,18,21-heptaenyl-carnitine
C16375	(3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosa-6,9,12,15,18,21-hexaenoyl-CoA; (3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosa-6,9,12,15,18,21-hexaenyl-CoA	(3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosa-6,9,12,15,18,21-hexaenoyl-carnitine; (3R,6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosahexaenyl-carnitine; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Hydroxytetracosa-6,9,12,15,18,21-hexaenyl-carnitine
C16376	(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosa-6,9,12,15,18,21-hexaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenyl-CoA; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosa-6,9,12,15,18,21-hexaenyl-CoA	(6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosa-6,9,12,15,18,21-hexaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosahexaenyl-carnitine; (6Z,9Z,12Z,15Z,18Z,21Z)-3-Oxotetracosa-6,9,12,15,18,21-hexaenyl-carnitine
C16387	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosa-2,6,9,12,15,18-hexaenoyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenyl-CoA; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosa-2,6,9,12,15,18-hexaenyl-CoA	(2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenoyl-carnitine; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosa-2,6,9,12,15,18-hexaenoyl-carnitine; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosahexaenyl-carnitine; (2E,6Z,9Z,12Z,15Z,18Z)-Tetracosa-2,6,9,12,15,18-hexaenyl-carnitine
C16388	(3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosa-6,9,12,15,18-pentaenoyl-CoA; (3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosa-6,9,12,15,18-pentaenyl-CoA	(3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosa-6,9,12,15,18-pentaenoyl-carnitine; (3R,6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosapentaenyl-carnitine; (6Z,9Z,12Z,15Z,18Z)-3-Hydroxytetracosa-6,9,12,15,18-pentaenyl-carnitine
C16389	(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosa-6,9,12,15,18-pentaenoyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenyl-CoA; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosa-6,9,12,15,18-pentaenyl-CoA	(6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosa-6,9,12,15,18-pentaenoyl-carnitine; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosapentaenyl-carnitine; (6Z,9Z,12Z,15Z,18Z)-3-Oxotetracosa-6,9,12,15,18-pentaenyl-carnitine
C16464	Citronellyl-CoA; Citronelloyl-CoA	Citronellyl-carnitine; Citronelloyl-carnitine
C16465	trans-Geranyl-CoA; trans-Geranoyl-CoA	trans-Geranyl-carnitine; trans-Geranoyl-carnitine
C16466	7-Methyl-3-oxo-6-octenoyl-CoA; 7-Methyl-3-oxooct-6-enoyl-CoA; 7-Methyl-3-oxo-6-octenyl-CoA; 7-Methyl-3-oxooct-6-enyl-CoA	7-Methyl-3-oxo-6-octenoyl-carnitine; 7-Methyl-3-oxooct-6-enoyl-carnitine; 7-Methyl-3-oxo-6-octenyl-carnitine; 7-Methyl-3-oxooct-6-enyl-carnitine
C16468	(2E)-5-Methylhexa-2,4-dienoyl-CoA; (2E)-5-Methylhexa-2,4-dienyl-CoA	(2E)-5-Methylhexa-2,4-dienoyl-carnitine; (2E)-5-Methylhexa-2,4-dienyl-carnitine
C16469	3-Hydroxy-5-methylhex-4-enoyl-CoA; 3-Hydroxy-5-methylhex-4-enyl-CoA	3-Hydroxy-5-methylhex-4-enoyl-carnitine; 3-Hydroxy-5-methylhex-4-enyl-carnitine
C16470	5-Methylhex-4-enoyl-CoA; 5-Methylhex-4-enyl-CoA	5-Methylhex-4-enoyl-carnitine; 5-Methylhex-4-enyl-carnitine
C16471	5-Methyl-3-oxo-4-hexenoyl-CoA; 5-Methyl-3-oxo-4-hexenyl-CoA	5-Methyl-3-oxo-4-hexenoyl-carnitine; 5-Methyl-3-oxo-4-hexenyl-carnitine
C16528	Docosanoyl-CoA; Behenoyl-CoA; Docosanyl-CoA; Behenyl-CoA	Docosanoyl-carnitine; Behenoyl-carnitine; Docosanyl-carnitine; Behenyl-carnitine
C16529	Tetracosanoyl-CoA; Lignoceroyl-CoA; Tetracosanyl-CoA; Lignoceryl-CoA	Tetracosanoyl-carnitine; Lignoceroyl-carnitine; Tetracosanyl-carnitine; Lignoceryl-carnitine
C16530	Icosenoyl-CoA; Eicosenoyl-CoA; (11Z)-Icosenoyl-CoA; (11Z)-Eicosenoyl-CoA; Icosenyl-CoA; Eicosenyl-CoA; (11Z)-Icosenyl-CoA; (11Z)-Eicosenyl-CoA	Icosenoyl-carnitine; Eicosenoyl-carnitine; (11Z)-Icosenoyl-carnitine; (11Z)-Eicosenoyl-carnitine; Icosenyl-carnitine; Eicosenyl-carnitine; (11Z)-Icosenyl-carnitine; (11Z)-Eicosenyl-carnitine
C16531	Docosenoyl-CoA; (13Z)-Docosenoyl-CoA; Docosenyl-CoA; (13Z)-Docosenyl-CoA	Docosenoyl-carnitine; (13Z)-Docosenoyl-carnitine; Docosenyl-carnitine; (13Z)-Docosenyl-carnitine
C16532	Tetracosenoyl-CoA; Nervonoyl-CoA; (15Z)-Tetracosenoyl-CoA; Tetracosenyl-CoA; Nervonyl-CoA; (15Z)-Tetracosenyl-CoA	Tetracosenoyl-carnitine; Nervonoyl-carnitine; (15Z)-Tetracosenoyl-carnitine; Tetracosenyl-carnitine; Nervonyl-carnitine; (15Z)-Tetracosenyl-carnitine
C16645	(13Z,16Z)-Docosadienoyl-CoA; (13Z,16Z)-Docosadi-13,16-enoyl-CoA; 13Z,16Z-Docosadienoyl-CoA; (13Z,16Z)-Docosadienyl-CoA; (13Z,16Z)-Docosadi-13,16-enyl-CoA; 13Z,16Z-Docosadienyl-CoA	(13Z,16Z)-Docosadienoyl-carnitine; (13Z,16Z)-Docosadi-13,16-enoyl-carnitine; 13Z,16Z-Docosadienoyl-carnitine; (13Z,16Z)-Docosadienyl-carnitine; (13Z,16Z)-Docosadi-13,16-enyl-carnitine; 13Z,16Z-Docosadienyl-carnitine
C16833	beta-Phenylalanoyl-CoA; (R)-beta-Phenylalanoyl-CoA; (R)-3-Amino-3-phenylpropanoyl-CoA; Amino phenylpropanoyl-CoA; beta-Phenylalanyl-CoA; (R)-beta-Phenylalanyl-CoA; (R)-3-Amino-3-phenylpropanyl-CoA; Amino phenylpropanyl-CoA	beta-Phenylalanoyl-carnitine; (R)-beta-Phenylalanoyl-carnitine; (R)-3-Amino-3-phenylpropanoyl-carnitine; Amino phenylpropanoyl-carnitine; beta-Phenylalanyl-carnitine; (R)-beta-Phenylalanyl-carnitine; (R)-3-Amino-3-phenylpropanyl-carnitine; Amino phenylpropanyl-carnitine
C17279	Ximenoyl-CoA; (17Z)-Hexacosenoyl-CoA; Ximenyl-CoA; (17Z)-Hexacosenyl-CoA	Ximenoyl-carnitine; (17Z)-Hexacosenoyl-carnitine; Ximenyl-carnitine; (17Z)-Hexacosenyl-carnitine
